codigo;numero;descricao
UF;;Unidade da Federação
CAPITAL;;Capital
RM_RIDE;;"Região Metropolitana e Região Administrativa Integrada
de Desenvolvimento"
V1008;;Número de seleção do domicílio
V1012;;Semana no mês
V1013;;Mês da pesquisa
V1016;;Número da entrevista no domicílio
Estrato;;Estrato
UPA;;UPA
V1022;;Situação do domicílio
V1023;;Tipo de área
V1030;;Projeção da população
V1031;;Peso do domicílio e das pessoas
V1032;;Peso do domicílio e das pessoas
posest;;Domínios de projeção
A001;A1;Número de ordem
A001A;A1a;Condição no domicílio
A001B1;A1b;Dia de nascimento
A001B2;A1b;Mês de nascimento
A001B3;A1b;Ano de nascimento
A002;A2;Idade do morador 
A003;A3;Sexo
A004;A4;Cor ou raça
A005;A5;Escolaridade
A006;A6;Frequenta escola
A006A;A6a;A escola / escola ou faculdade que frequenta é pública ou privada?
A006B;A6b;Você está tendo aulas presenciais?
A007;A7;Na semana passada, _____ foram disponibilizadas atividades escolares para realizar em casa?
A007A;A7a;Por que não realizou as atividades disponibilizadas na semana passada?
A008;A8;Na semana passada, em quantos dias _____ dedicou-se às atividades escolares? 
A009;A9;Na semana passada, quanto tempo por dia ____ gastou fazendo as atividades escolares?  escolares? 
B0011;B1;Na semana passada teve febre?
B0012;B1;Na semana passada teve tosse?
B0013;B1;Na semana passada teve dor de garganta?
B0014;B1;Na semana passada teve dificuldade para respirar?
B0015;B1;Na semana passada teve dor de cabeça?
B0016;B1;Na semana passada teve dor no peito?
B0017;B1;Na semana passada teve náusea?
B0018;B1;Na semana passada teve nariz entupido ou escorrendo?
B0019;B1;Na semana passada teve fadiga?
B00110;B1;Na semana passada teve dor nos olhos?
B00111;B1;Na semana passada teve perda de cheiro ou sabor?
B00112;B1;Na semana passada teve dor muscular?
B00113;B1;Na semana passada teve diarreia?
B002;B2;Por causa disso, foi a algum estabelecimento de saúde?
B0031;B3;Providência tomada para recuperar dos sintomas foi ficar em casa
B0032;B3;Providência tomada para recuperar dos sintomas foi ligar para algum profissional de saúde
B0033;B3;Providência tomada  para recuperar dos sintomas foi comprar e/ou tomar  remédio por conta própria
B0034;B3;Providência tomada para recuperar dos sintomas foi comprar e/ou tomar remédio por orientação médica
B0035;B3;Providência tomada para recuperar dos sintomas foi receber visita de algum profissional de saúde do SUS (equipe de saúde da família, agente comunitário, etc.)
B0036;B3;Providência tomada para recuperar dos sintomas foi receber visita de profissional de saúde particular 
B0037;B3;Providência tomada para recuperar dos sintomas foi outra
B0041;B4;Local que buscou atendimento foi posto de saúde/Unidade básica de saúde /Equipe de Saúde da Família (médico, enfermeiro, técnico de enfermagem ou agente comunitário de saúde)
B0042;B4;Local que buscou atendimento foi pronto socorro do SUS/UPA
B0043;B4;Local que buscou atendimento foi hospital do SUS
B0044;B4;Local que buscou atendimento foi ambulatório ou consultório privado ou ligado às forças armadas
B0045;B4;Local que buscou atendimento foi pronto socorro privado ou ligado às forças armadas
B0046;B4;Local que buscou atendimento foi hospital privado ou ligado às forças armadas
B005;B5;Ao procurar o hospital, teve que ficar internado por um dia ou mais
B006;B6;Durante a internação, foi sedado, entubado e colocado em respiração artificial com ventilador
B007;B7;Tem algum plano de saúde médico, seja particular, de empresa ou de órgão público
B008;B8;O(A) Sr(a) fez algum teste para saber se estava infectado(a) pelo coronavírus? 
B009A;B9A;Fez o exame coletado com cotonete na boca e/ou nariz (SWAB)? 
B009B;B9B;Qual o resultado?
B009C;B9C;Fez o exame de coleta de sangue através de furo no dedo?
B009D;B9D;Qual o resultado?
B009E;B9E;Fez o exame de coleta de sangue através da veia da braço?
B009F;B9F;Qual o resultado?
B0101;B10;Algum médico já lhe deu o diagnóstico de diabetes?
B0102;B10;Algum médico já lhe deu o diagnóstico de hipertensão?
B0103;B10;Algum médico já lhe deu o diagnóstico de asma/bronquite/enfisema/doenças respiratória crônica ou doença de pulmão?
B0104;B10;Algum médico já lhe deu o diagnóstico de doenças do coração (infarto, angina, insuficiência cardíaca, arritmia)?
B0105;B10;Algum médico já lhe deu o diagnóstico de depressão?
B0106;B10;Algum médico já lhe deu o diagnóstico de câncer?
B011;B11;Qual foi o resultado do teste?  Na semana passada, devido à pandemia do Coronavírus, em que medida o(a) Sr(a) restringiu o contato com as pessoas? 
C001;C1;Na semana passada, por pelo menos uma hora, trabalhou ou fez algum bico?
C002;C2;Na semana passada, estava temporariamente afastado de algum trabalho?
C003;C3;Qual o principal motivo deste afastamento temporário?
C004;C4;Continuou a ser remunerado (mesmo que parcialmente) por esse trabalho
